Topic,Number
Congress,78
Congress,161
Congress,198
Congress,215
Congress,200
Congress,81
Congress,148
Congress,201
Congress,222
Election,425
Election,354
Election,352
Foreign,214
Foreign,15
Foreign,150
Foreign,15
Foreign,332
Foreign,218
Foreign,109
Foreign,160
Foreign,356
Foreign,261
Immigration,172
Immigration,247
Immigration,66
Immigration,335
Immigration,165
Immigration,212
Immigration,182
White House,107
White House,376
White House,358
White House,256
White House,323
White House,328
White House,93
White House,372
White House,113
White House,232
White House,31
White House,4
White House,25
White House,82
White House,139
White House,47
White House,213
White House,120
White House,71
